Frequency - Plot 0	Amplitude - Plot 0
574	2.59E-07
575	2.91E-07
575	3.02E-07
576	3.11E-07
577	3.36E-07
577	3.64E-07
578	3.24E-07
578	3.89E-07
579	3.92E-07
579	4.22E-07
580	4.05E-07
580	4.52E-07
581	4.35E-07
581	4.64E-07
582	4.74E-07
582	5.03E-07
583	5.12E-07
583	4.86E-07
584	5.14E-07
584	5.36E-07
585	5.50E-07
585	5.87E-07
586	5.65E-07
586	5.79E-07
587	6.11E-07
587	6.00E-07
588	6.02E-07
588	5.83E-07
589	5.83E-07
589	6.01E-07
590	5.84E-07
590	5.68E-07
591	6.25E-07
591	6.43E-07
592	6.25E-07
592	6.35E-07
593	6.72E-07
593	6.97E-07
594	6.51E-07
594	6.86E-07
595	7.31E-07
595	6.82E-07
596	6.65E-07
596	6.68E-07
597	6.70E-07
598	7.09E-07
598	7.26E-07
599	8.14E-07
599	8.66E-07
600	9.47E-07
600	1.33E-06
601	1.13E-06
601	1.17E-06
602	1.13E-06
602	1.18E-06
603	1.16E-06
603	1.29E-06
604	1.28E-06
604	1.33E-06
605	1.39E-06
605	1.40E-06
606	1.45E-06
606	1.55E-06
607	1.61E-06
607	1.69E-06
608	1.86E-06
608	2.09E-06
609	2.27E-06
609	2.50E-06
610	2.68E-06
610	3.12E-06
611	3.68E-06
611	4.19E-06
612	4.88E-06
612	5.56E-06
613	6.30E-06
613	7.56E-06
614	8.38E-06
614	9.70E-06
615	1.07E-05
615	1.22E-05
616	1.35E-05
616	1.47E-05
617	1.61E-05
617	1.74E-05
618	1.91E-05
618	2.10E-05
619	2.23E-05
620	2.43E-05
620	2.59E-05
621	2.73E-05
621	2.86E-05
622	3.01E-05
622	3.18E-05
623	3.29E-05
623	3.33E-05
624	3.50E-05
624	3.57E-05
625	3.62E-05
625	3.65E-05
626	3.69E-05
626	3.69E-05
627	3.71E-05
627	3.68E-05
628	3.63E-05
628	3.51E-05
629	3.47E-05
629	3.33E-05
630	3.19E-05
630	3.02E-05
631	2.87E-05
631	2.65E-05
632	2.39E-05
632	2.22E-05
633	1.99E-05
633	1.75E-05
634	1.57E-05
634	1.35E-05
635	1.17E-05
635	1.00E-05
636	8.40E-06
636	7.29E-06
637	6.16E-06
637	5.26E-06
638	4.47E-06
638	4.04E-06
639	3.63E-06
639	3.08E-06
640	2.84E-06
641	2.81E-06
641	2.49E-06
642	2.23E-06
642	2.20E-06
643	2.23E-06
643	2.16E-06
644	1.92E-06
644	2.00E-06
645	1.93E-06
645	1.81E-06
646	1.78E-06
646	1.79E-06
647	1.64E-06
647	1.60E-06
648	1.45E-06
648	1.51E-06
649	1.42E-06
649	1.37E-06
650	1.61E-06
650	1.21E-06
651	1.13E-06
651	1.18E-06
652	1.07E-06
652	9.92E-07
653	9.05E-07
653	9.05E-07
654	7.60E-07
654	6.72E-07
655	6.24E-07
655	5.29E-07
656	4.63E-07
656	5.47E-07
657	5.77E-07
657	6.63E-07
658	6.77E-07
658	7.61E-07
659	7.61E-07
659	6.94E-07
660	6.80E-07
660	6.48E-07
661	4.94E-07
662	4.68E-07
662	4.11E-07
663	3.33E-07
663	2.51E-07
664	2.39E-07
664	2.02E-07
665	1.75E-07
665	1.97E-07
666	1.78E-07
666	1.57E-07
667	1.33E-07
667	1.24E-07
668	9.94E-08
668	1.00E-07
669	8.78E-08
669	8.42E-08
670	6.18E-08
670	6.02E-08
671	5.17E-08
671	3.32E-08
672	2.77E-08
672	4.68E-08
673	4.66E-08
673	3.54E-08
674	5.91E-08
674	7.32E-08
675	5.72E-08
675	6.70E-08
676	7.84E-08
